N,Storage,Volume (300mL each),Replicate,Replicate Vol.,EcoMol ID,[ng/?L],A260/A280
1,Silica,A,1,40 mL,EM91S_A1,12.2,1.9
2,Silica,A,2,40 mL,EM91S_A2,9.8,1.7
3,Silica,A,3,40 mL,EM91S_A3,4.7,1.7
4,Silica,B,1,40 mL,EM91S_B1,10.1,1.8
5,Silica,B,2,40 mL,EM91S_B2,8.4,2
6,Silica,B,3,40 mL,EM91S_B3,15.4,1.8
7,Silica,C,1,40 mL,EM91S_C1,8.7,1.7
8,Silica,C,2,40 mL,EM91S_C2,7.4,1.9
9,Silica,C,3,40 mL,EM91S_C3,7.7,1.8
10,Silica,D,1,40 mL,EM91S_D1,8.7,2
11,Silica,D,2,40 mL,EM91S_D2,10.4,1.8
12,Silica,D,3,40 mL,EM91S_D3,8.8,1.9
13,Silica,E,1,40 mL,EM91S_E1,11.5,1.7
14,Silica,E,2,40 mL,EM91S_E2,8.2,1.8
15,Silica,E,3,40 mL,EM91S_E3,7.8,1.9
16,Silica,F,1,40 mL,EM91S_F1,14.5,1.7
17,Silica,F,2,40 mL,EM91S_F2,11.4,1.8
18,Silica,F,3,40 mL,EM91S_F3,10.9,1.7
19,Silica,G,1,40 mL,EM91S_G1,8.7,1.6
20,Silica,G,2,40 mL,EM91S_G2,9,1.8
21,Silica,G,3,40 mL,EM91S_G3,14.5,1.7
22,Silica,H,1,40 mL,EM91S_H1,6.9,1.7
23,Silica,H,2,40 mL,EM91S_H2,21.9,1.6
24,Silica,H,3,40 mL,EM91S_H3,5.7,2
25,Silica,I,1,40 mL,EM91S_I1,9.3,1.7
26,Silica,I,2,40 mL,EM91S_I2,11.6,1.7
27,Silica,I,3,40 mL,EM91S_I3,12.9,1.7
28,Buffer,A,1,40 mL,EM91b_A1,31.9,1.7
29,Buffer,A,2,40 mL,EM91b_A2,37.6,1.6
30,Buffer,A,3,40 mL,EM91b_A3,28,1.7
31,Buffer,B,1,40 mL,EM91b_B1,56.2,1.7
32,Buffer,B,2,40 mL,EM91b_B2,53.3,1.7
33,Buffer,B,3,40 mL,EM91b_B3,60.7,1.7
34,Buffer,C,1,40 mL,EM91b_C1,34.9,1.7
35,Buffer,C,2,40 mL,EM91b_C2,30.8,1.6
36,Buffer,C,3,40 mL,EM91b_C1,32.3,1.7
37,Buffer,D,1,40 mL,EM91b_D1,65.5,1.6
38,Buffer,D,2,40 mL,EM91b_D2,71.6,1.7
39,Buffer,D,3,40 mL,EM91b_D3,77.2,1.7
40,Buffer,E,1,40 mL,EM91b_E1,41.8,1.6
41,Buffer,E,2,40 mL,EM91b_E2,20.2,1.7
42,Buffer,E,3,40 mL,EM91b_E3,34.3,1.6
43,Buffer,F,1,40 mL,EM91b_F1,47.7,1.6
44,Buffer,F,2,40 mL,EM91b_F2,54.3,1.6
45,Buffer,F,3,40 mL,EM91b_F3,50.6,1.6
46,Buffer,G,1,40 mL,EM91b_G1,38,1.7
47,Buffer,G,2,40 mL,EM91b_G2,26.5,1.6
48,Buffer,G,3,40 mL,EM91b_G3,42.2,1.6
49,Buffer,H,1,40 mL,EM91b_H1,42,1.6
50,Buffer,H,2,40 mL,EM91b_H2,45.6,1.7
51,Buffer,H,3,40 mL,EM91b_H3,41.6,1.6
52,Buffer,I,1,40 mL,EM91b_I1,32.2,1.6
53,Buffer,I,2,40 mL,EM91b_I2,23.1,1.6
54,Buffer,I,3,40 mL,EM91b_I3,30.1,1.6
