system,site,siteEasy,recievedPlot,updatedPlot,labCode,labCode2,labCode20,riazCode2,riazCode20,cluster
COCOA,SFX006-02C,Cocoa 5,SFX006-02C-01,SFX006-02C-01,SFX32,SFX32_2,SFX32_20,SFX32_2g,SFX32_20g,Cluster 1
COCOA,SFX006-02C,Cocoa 5,SFX006-02C-02,SFX006-02C-02,SFX33,SFX33_2,SFX33_20,SFX33_2g,SFX33_20g,Cluster 1
COCOA,SFX006-02C,Cocoa 5,SFX006-02C-03,SFX006-02C-03,SFX34,SFX34_2,SFX34_20,SFX34_2g,SFX34_20g,Cluster 1
COCOA,SFX006-02C,Cocoa 5,SFX006-02C-04,SFX006-02C-04,SFX35,SFX35_2,SFX35_20,SFX35_2g,SFX35_20g,Cluster 1
COCOA,SFX217-03C,Cocoa 2,SFX217-03-01,SFX217-03C-01,SFX21,SFX21_2,SFX21_20,SFX21_2g,SFX21_20g,Cluster 1
COCOA,SFX217-03C,Cocoa 2,SFX217-03-02,SFX217-03C-02,SFX22,SFX22_2,SFX22_20,SFX22_2g,SFX22_20g,Cluster 1
COCOA,SFX217-03C,Cocoa 2,SFX217-03-03,SFX217-03C-03,SFX23,SFX23_2,SFX23_20,SFX23_2g,SFX23_20g,Cluster 1
COCOA,SFX217-03C,Cocoa 2,SFX217-03-04,SFX217-03C-04,SFX24,SFX24_2,SFX24_20,SFX24_2g,SFX24_20g,Cluster 1
COCOA,SFX188-05C,Cocoa 4,SFX188-05C-01,SFX188-05C-01,SFX28,SFX28_2,SFX28_20,SFX28_2g,SFX28_20g,Cluster 2
COCOA,SFX188-05C,Cocoa 4,SFX188-05C-02,SFX188-05C-02,SFX29,SFX29_2,SFX29_20,SFX29_2g,SFX29_20g,Cluster 2
COCOA,SFX188-05C,Cocoa 4,SFX188-05C-03,SFX188-05C-03,SFX30,SFX30_2,SFX30_20,SFX30_2g,SFX30_20g,Cluster 2
COCOA,SFX188-05C,Cocoa 4,SFX188-05C-04,SFX188-05C-04,SFX31,SFX31_2,SFX31_20,SFX31_2g,SFX31_20g,Cluster 2
COCOA,SFX204-07C,Cocoa 1,SFX204-07C-01,SFX204-07C-01,SFX18,SFX18_2,SFX18_20,SFX18_2g,SFX18_20g,Cluster 1
COCOA,SFX204-07C,Cocoa 1,SFX204-07C-02,SFX204-07C-02,SFX19,SFX19_2,SFX19_20,SFX19_2g,SFX19_20g,Cluster 1
COCOA,SFX204-07C,Cocoa 1,SFX204-07C-03,SFX204-07C-03,SFX20,SFX20_2,SFX20_20,SFX20_2g,SFX20_20g,Cluster 1
COCOA,SFX225-08C,Cocoa 3,SFX225-08C-01,SFX225-08C-01,SFX25,SFX25_2,SFX25_20,SFX25_2g,SFX25_20g,Cluster 1
COCOA,SFX225-08C,Cocoa 3,SFX225-08C-03,SFX225-08C-03,SFX26,SFX26_2,SFX26_20,SFX26_2g,SFX26_20g,Cluster 1
COCOA,SFX225-08C,Cocoa 3,SFX225-08C-04,SFX225-08C-04,SFX27,SFX27_2,SFX27_20,SFX27_2g,SFX27_20g,Cluster 1
PASTURE,SFX026-01P,Pasture 3,SFX026-NOVO,SFX026-01P-01,SFX15,SFX15_2,SFX15_20,SFX15_2g,SFX15_20g,Cluster 1
PASTURE,SFX026-01P,Pasture 3,SFX026-01P-03-04 BREJO,SFX026-01P-03,SFX16,SFX16_2,SFX16_20,SFX16_2g,SFX16_20g,Cluster 1
PASTURE,SFX026-01P,Pasture 3,SFX026-01P-04-01,SFX026-01P-04,SFX17,SFX17_2,SFX17_20,SFX17_2g,SFX17_20g,Cluster 1
PASTURE,SFX051-02P,Pasture 2,SFX05-02P-01,SFX051-02P-01,SFX12,SFX12_2,SFX12_20,SFX12_2g,SFX12_20g,Cluster 1
PASTURE,SFX051-02P,Pasture 2,SFX05-02P-02,SFX051-02P-02,SFX13,SFX13_2,SFX13_20,SFX13_2g,SFX13_20g,Cluster 1
PASTURE,SFX051-02P,Pasture 2,SFX05-02P-03,SFX051-02P-03,SFX14,SFX14_2,SFX14_20,SFX14_2g,SFX14_20g,Cluster 1
PASTURE,SFX184-03P,Pasture 5,SFX184-01P.01,SFX184-03P-01,SFX4,SFX4_2,SFX4_20,SFX4_2g,SFX4_20g,Cluster 1
PASTURE,SFX184-03P,Pasture 5,SFX184-03P-02,SFX184-03P-02,SFX6,SFX6_2,SFX6_20,SFX6_2g,SFX6_20g,Cluster 1
PASTURE,SFX184-03P,Pasture 5,SFX184-03P-03,SFX184-03P-03,SFX5,SFX5_2,SFX5_20,SFX5_2g,SFX5_20g,Cluster 1
PASTURE,SFX184-03P,Pasture 5,SFX184-03P-04,SFX184-03P-04,SFX7,SFX7_2,SFX7_20,SFX7_2g,SFX7_20g,Cluster 1
PASTURE,SFX237-04P,Pasture 1,SFX237-04P-01,SFX237-04P-01,SFX8,SFX8_2,SFX8_20,SFX8_2g,SFX8_20g,Cluster 1
PASTURE,SFX237-04P,Pasture 1,SFX237-04P-02,SFX237-04P-02,SFX9,SFX9_2,SFX9_20,SFX9_2g,SFX9_20g,Cluster 1
PASTURE,SFX237-04P,Pasture 1,SFX237-04P-03,SFX237-04P-03,SFX10,SFX10_2,SFX10_20,SFX10_2g,SFX10_20g,Cluster 1
PASTURE,SFX237-04P,Pasture 1,SFX237-04P-04,SFX237-04P-04,SFX11,SFX11_2,SFX11_20,SFX11_2g,SFX11_20g,Cluster 1
PASTURE,SFX128-07P,Pasture 4,SFX128.07P-02,SFX128-07P-02,SFX1,SFX1_2,SFX1_20,SFX1_2g,SFX1_20g,Cluster 1
PASTURE,SFX128-07P,Pasture 4,SFX128.07P-03,SFX128-07P-03,SFX2,SFX2_2,SFX2_20,SFX2_2g,SFX2_20g,Cluster 1
PASTURE,SFX128-07P,Pasture 4,SFX128.07P-04,SFX128-07P-04,SFX3,SFX3_2,SFX3_20,SFX3_2g,SFX3_20g,Cluster 1
FOREST,SFX004-01F,_Forest 1,SFX004-01F,SFX004-01F-99,SFX36,SFX36_2,SFX36_20,SFX36_2g,SFX36_20g,Forest
FOREST,SFX004-01F,_Forest 1,SFX004-01F-03,SFX004-01F-03,SFX37,SFX37_2,SFX37_20,SFX37_2g,SFX37_20g,Forest
FOREST,SFX004-01F,_Forest 1,SFX004-01F-04,SFX004-01F-04,SFX38,SFX38_2,SFX38_20,SFX38_2g,SFX38_20g,Forest
